title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"The Godfather Part II",movie,"Crime, Drama",1974,tt0071562,9,1428216,
"The Godfather Part III",movie,"Crime, Drama",1990,tt0099674,7.6,439327,
"High Fidelity",movie,"Comedy, Drama, Music",2000,tt0146882,7.4,194984,
"King Kong",movie,"Adventure, Horror",1933,tt0024216,7.9,93643,
"About a Boy",movie,"Comedy, Drama, Romance",2002,tt0276751,7.1,196049,
"Pocketful of Miracles",movie,"Comedy, Drama",1961,tt0055312,7.1,8381,
"In China They Eat Dogs",movie,"Action, Comedy, Crime",1999,tt0180748,7.3,23832,
Ghost,movie,"Drama, Fantasy, Romance",1990,tt0099653,7.1,247751,
"King Kong",movie,"Action, Adventure, Romance",2005,tt0360717,7.2,459264,
"Stolen Kisses",movie,"Comedy, Drama, Romance",1968,tt0062695,7.5,15945,
"Antoine and Colette",movie,"Comedy, Drama, Romance",1962,tt1180329,7.5,6771,
"Bed & Board",movie,"Comedy, Drama, Romance",1970,tt0065651,7.4,11108,
"Love on the Run",movie,"Comedy, Drama, Romance",1979,tt0078771,7,7837,
Contempt,movie,"Drama, Romance",1963,tt0057345,7.4,37442,
"Live Flesh",movie,Drama,1997,tt0118819,7.3,34764,
Breathless,movie,"Crime, Drama",1960,tt0053472,7.7,91073,
"Terminator 2: Judgment Day",movie,"Action, Adventure, Sci-Fi",1991,tt0103064,8.6,1231822,
"The Apartment",movie,"Comedy, Drama, Romance",1960,tt0053604,8.3,208787,
"Swimming Pool",movie,"Crime, Drama, Mystery",2003,tt0324133,6.7,49985,
"Beverly Hills Cop III",movie,"Action, Comedy, Crime",1994,tt0109254,5.5,97505,
"Rome, Open City",movie,"Drama, Thriller, War",1945,tt0038890,8,32069,
"The Celebration",movie,Drama,1998,tt0154420,8,97582,
"Once Upon a Time in America",movie,"Crime, Drama",1984,tt0087843,8.3,394878,
"Snow Cake",movie,"Drama, Romance",2006,tt0448124,7.4,13598,
"The Million Dollar Hotel",movie,"Drama, Mystery, Thriller",2000,tt0120753,5.7,22880,
Insomnia,movie,"Drama, Mystery, Thriller",2002,tt0278504,7.2,329771,
"Snakes on a Plane",movie,"Action, Adventure, Crime",2006,tt0417148,5.5,147182,
"Jurassic Park",movie,"Action, Adventure, Sci-Fi",1993,tt0107290,8.2,1118682,
"The Lost World: Jurassic Park",movie,"Action, Adventure, Sci-Fi",1997,tt0119567,6.6,459075,
"Jurassic Park III",movie,"Action, Adventure, Sci-Fi",2001,tt0163025,5.9,352710,
Bollywood/Hollywood,movie,"Comedy, Drama, Musical",2002,tt0303785,5.9,2601,
"Duck, You Sucker!",movie,"Drama, War, Western",1971,tt0067140,7.6,39533,
"Good Bye Lenin!",movie,"Comedy, Drama, Romance",2003,tt0301357,7.7,156402,
"Night on Earth",movie,"Comedy, Drama",1991,tt0102536,7.7,68733,
"Harold and Maude",movie,"Comedy, Drama, Romance",1971,tt0067185,7.9,84085,
"Seven Samurai",movie,"Action, Drama",1954,tt0047478,8.6,383702,
Head-On,movie,"Drama, Romance",2004,tt0347048,7.8,59303,
"Rain Man",movie,Drama,1988,tt0095953,8,565047,
"To Catch a Thief",movie,"Drama, Mystery, Romance",1955,tt0048728,7.4,83627,
"Das Boot",movie,"Drama, War",1981,tt0082096,8.4,279088,
"Inside Man",movie,"Crime, Drama, Mystery",2006,tt0454848,7.6,412649,
"Lisbon Story",movie,"Drama, Music",1994,tt0110361,7.1,5675,
Chocolat,movie,"Drama, Romance",2000,tt0241303,7.2,206642,
"Kill Bill: Vol. 2",movie,"Action, Crime, Thriller",2004,tt0378194,8,837470,
Capote,movie,"Biography, Crime, Drama",2005,tt0379725,7.3,145279,
"Garden State",movie,"Comedy, Drama, Romance",2004,tt0333766,7.4,226425,
"Basic Instinct",movie,"Drama, Mystery, Thriller",1992,tt0103772,7.1,231889,
"The Straight Story",movie,"Biography, Drama",1999,tt0166896,8,104045,
"La haine",movie,"Crime, Drama",1995,tt0113247,8.1,211544,
"The English Patient",movie,"Drama, Romance, War",1996,tt0116209,7.4,208654,
"The Life Aquatic with Steve Zissou",movie,"Action, Adventure, Comedy",2004,tt0362270,7.2,215915,
8½,movie,Drama,1963,tt0056801,8,129216,
"The Pianist",movie,"Biography, Drama, Music",2002,tt0253474,8.5,967519,
"My Uncle",movie,Comedy,1958,tt0050706,7.7,25210,
Cube,movie,"Horror, Mystery, Sci-Fi",1997,tt0123755,7.1,255273,
"The Day After Tomorrow",movie,"Action, Adventure, Sci-Fi",2004,tt0319262,6.5,496750,
"Cube²: Hypercube",movie,"Horror, Mystery, Sci-Fi",2002,tt0285492,5.5,71869,
"La Dolce Vita",movie,"Comedy, Drama",1960,tt0053779,8,82521,
Caché,movie,"Drama, Mystery, Thriller",2005,tt0387898,7.3,87946,
"Leaving Las Vegas",movie,"Drama, Romance",1995,tt0113627,7.5,140523,
"The Idiots",movie,"Comedy, Drama",1998,tt0154421,6.7,35072,
"A Beautiful Mind",movie,"Biography, Drama, Mystery",2001,tt0268978,8.2,1021528,
"As It Is in Heaven",movie,"Comedy, Drama, Music",2004,tt0382330,7.5,18726,
"Stranger Than Paradise",movie,"Comedy, Drama",1984,tt0088184,7.4,42055,
"Drugstore Cowboy",movie,"Crime, Drama",1989,tt0097240,7.2,42514,
Shaft,movie,"Action, Crime, Thriller",2000,tt0162650,6,83023,
"The African Queen",movie,"Adventure, Drama, Romance",1951,tt0043265,7.7,86758,
"Good Will Hunting",movie,"Drama, Romance",1997,tt0119217,8.3,1136747,
"The Seventh Seal",movie,"Drama, Fantasy",1957,tt0050976,8.1,208371,
"The Green Mile",movie,"Crime, Drama, Fantasy",1999,tt0120689,8.6,1484364,
"Cléo from 5 to 7",movie,"Comedy, Drama, Music",1962,tt0055852,7.8,29514,
"Love Actually",movie,"Comedy, Drama, Romance",2003,tt0314331,7.6,558555,
"Notting Hill",movie,"Comedy, Drama, Romance",1999,tt0125439,7.2,364936,
Requiem,movie,"Drama, Horror",2006,tt0454931,6.8,6612,
Casino,movie,"Crime, Drama",1995,tt0112641,8.2,592001,
"The Blues Brothers",movie,"Adventure, Comedy, Crime",1980,tt0080455,7.9,221896,
Flashdance,movie,"Drama, Music, Romance",1983,tt0085549,6.2,61921,
Psycho,movie,"Drama, Horror, Mystery",1960,tt0054215,8.5,752078,
Rashomon,movie,"Crime, Drama, Mystery",1950,tt0042876,8.2,189302,
"The Poseidon Adventure",movie,"Action, Adventure, Drama",1972,tt0069113,7.1,51909,
"The Mummy",movie,"Action, Adventure, Fantasy",1999,tt0120616,7.1,481995,
"The Ring",movie,"Horror, Mystery",2002,tt0298130,7.1,389424,
"Apollo 13",movie,"Adventure, Drama, History",1995,tt0112384,7.7,326263,
"The Birds",movie,"Drama, Horror, Mystery",1963,tt0056869,7.6,212806,
Jaws,movie,"Adventure, Drama, Horror",1975,tt0073195,8.1,693928,
"Jaws: The Revenge",movie,"Adventure, Horror, Thriller",1987,tt0093300,3,51425,
"2 Fast 2 Furious",movie,"Action, Crime, Thriller",2003,tt0322259,5.9,310202,
"Silent Hill",movie,"Horror, Mystery",2006,tt0384537,6.5,252576,
"The Hours",movie,"Drama, Romance",2002,tt0274558,7.5,144220,
"The Da Vinci Code",movie,"Mystery, Thriller",2006,tt0382625,6.6,472574,
"The Conversation",movie,"Drama, Mystery, Thriller",1974,tt0071360,7.7,130743,
"The Terminal",movie,"Comedy, Drama, Romance",2004,tt0362227,7.4,513706,
Titanic,movie,"Drama, Romance",1997,tt0120338,7.9,1338624,
"Sunset Boulevard",movie,"Drama, Film-Noir",1950,tt0043014,8.4,248729,
"E.T. the Extra-Terrestrial",movie,"Adventure, Family, Sci-Fi",1982,tt0083866,7.9,453587,
"Independence Day",movie,"Action, Adventure, Sci-Fi",1996,tt0116629,7,626522,
Munich,movie,"Drama, History, Thriller",2005,tt0408306,7.5,247119,
"Wild Strawberries",movie,"Drama, Romance",1957,tt0050986,8.1,120391,
"Wild Things",movie,"Crime, Drama, Mystery",1998,tt0120890,6.6,136254,
Grease,movie,"Comedy, Musical, Romance",1978,tt0077631,7.2,314399,
"A Fish Called Wanda",movie,"Comedy, Crime",1988,tt0095159,7.5,159966,
"The Killing Fields",movie,"Biography, Drama, History",1984,tt0087553,7.8,61783,
"Un chien andalou",movie,"Fantasy, Horror, Short",1929,tt0020530,7.6,55391,
Sunrise,movie,"Drama, Romance",1927,tt0018455,8.1,55405,
"Bridget Jones's Diary",movie,"Comedy, Drama, Romance",2001,tt0243155,6.8,277959,
"Angel Heart",movie,"Horror, Mystery, Thriller",1987,tt0092563,7.2,99738,
"Life Is Beautiful",movie,"Comedy, Drama, Romance",1997,tt0118799,8.6,777652,
"Lost Highway",movie,"Drama, Mystery, Thriller",1997,tt0116922,7.6,163122,
"When Harry Met Sally...",movie,"Comedy, Drama, Romance",1989,tt0098635,7.7,255407,
"Catch Me If You Can",movie,"Biography, Crime, Drama",2002,tt0264464,8.1,1164155,
"Battleship Potemkin",movie,"Drama, History, Thriller",1925,tt0015648,7.9,63348,
"A.I. Artificial Intelligence",movie,"Adventure, Drama, Sci-Fi",2001,tt0212720,7.2,331194,
"Beauty and the Beast",movie,"Drama, Fantasy, Romance",1946,tt0038348,7.9,29034,
"Belle de Jour",movie,"Drama, Romance",1967,tt0061395,7.6,51564,
"Boyz n the Hood",movie,"Crime, Drama",1991,tt0101507,7.8,162163,
Troy,movie,"Action, Adventure, Drama",2004,tt0332452,7.3,593141,
"Nosferatu: A Symphony of Horror",movie,"Fantasy, Horror",1922,tt0013442,7.8,118837,
"Paris, Texas",movie,Drama,1984,tt0087884,8.1,131289,
"The Marriage of Maria Braun",movie,"Drama, Romance",1979,tt0079095,7.7,15568,
Oldboy,movie,"Action, Drama, Mystery",2003,tt0364569,8.3,678455,
"Pulp Fiction",movie,"Crime, Drama",1994,tt0110912,8.9,2332985,
Pickpocket,movie,"Crime, Drama",1959,tt0053168,7.6,26528,
"Meet the Fockers",movie,"Comedy, Romance",2004,tt0290002,6.3,295354,
"Effi Briest",movie,"Drama, History",1974,tt0071458,6.9,2857,
"The Piano",movie,"Drama, Music, Romance",1993,tt0107822,7.5,98344,
Together,movie,"Comedy, Drama, Romance",2000,tt0203166,7.4,25059,
"Top Gun",movie,"Action, Drama",1986,tt0092099,7,527760,
"Shaun of the Dead",movie,"Comedy, Horror",2004,tt0365748,7.9,618785,
Face/Off,movie,"Action, Crime, Sci-Fi",1997,tt0119094,7.3,414391,
"From Dusk Till Dawn",movie,"Action, Crime, Horror",1996,tt0116367,7.2,355270,
"Monty Python and the Holy Grail",movie,"Adventure, Comedy, Fantasy",1975,tt0071853,8.2,587628,
"Evil Dead II",movie,"Comedy, Horror",1987,tt0092991,7.7,189483,
"Army of Darkness",movie,"Comedy, Horror",1992,tt0106308,7.4,202006,
"A Trip to the Moon",movie,"Adventure, Comedy, Fantasy",1902,tt0000417,8.1,58507,
"The Rules of the Game",movie,"Comedy, Drama",1939,tt0031885,7.9,32452,
"The Grand Illusion",movie,"Drama, War",1937,tt0028950,8.1,40119,
"Monsieur Hulot's Holiday",movie,Comedy,1953,tt0046487,7.3,21147,
