Platform,Monthly Price,Total_Titles,Total_Originals,Avg_IMDb_Rating,Weighted_IMDb_Rating,Genre_Variety,Titles_per_Dollar,Originals_per_Dollar,Weighted_IMDb_per_Dollar,Norm_Titles_per_Dollar,Norm_Originals_per_Dollar,Norm_Weighted_IMDb_per_Dollar,Value_Index
Apple TV+,9.99,16928,208,6.3679664393070565,7.200682086745546,31,1694.4944944944943,20.82082082082082,0.7207889976722268,0.3798928786247358,0.09252487350842356,1.0,1.4724177521331594
Netflix,17.99,20084,1967,6.400291442641073,7.258465725212737,29,1116.3979988882713,109.33852140077822,0.4034722470935374,0.19754037286396042,1.0,0.025520128797923935,1.2230605016618843
Amazon Prime Video,17.99,65850,443,5.952789004387552,7.1716546047333445,34,3660.3668704836023,24.62479155086159,0.39864672622197583,1.0,0.1315228230348669,0.010700952221753435,1.1422237752566202
Max,16.99,9166,960,6.693769366976539,7.388400686366068,31,539.4938198940554,56.50382577987052,0.4348676095565667,0.015563966808878116,0.4583436784101985,0.12193529980141135,0.595842945020488
Hulu,18.99,9308,224,6.574678919397697,7.504130358781648,31,490.1527119536599,11.795681937862033,0.39516220951983405,0.0,0.0,0.0,0.0
