title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Bride of Frankenstein",movie,"Drama, Horror, Sci-Fi",1935,tt0026138,7.8,55800,
Syriana,movie,"Drama, Thriller",2005,tt0365737,6.9,136411,
"Stand by Me",movie,"Adventure, Comedy, Drama",1986,tt0092005,8.1,464140,
"The Godfather",movie,"Crime, Drama",1972,tt0068646,9.2,2123197,
"The Godfather Part II",movie,"Crime, Drama",1974,tt0071562,9,1428216,
"The Godfather Part III",movie,"Crime, Drama",1990,tt0099674,7.6,439327,
"About a Boy",movie,"Comedy, Drama, Romance",2002,tt0276751,7.1,196049,
"Willy Wonka & the Chocolate Factory",movie,"Adventure, Comedy, Family",1971,tt0067992,7.8,236975,
"King Kong",movie,"Action, Adventure, Romance",2005,tt0360717,7.2,459264,
"The 39 Steps",movie,"Crime, Mystery, Thriller",1935,tt0026029,7.6,63932,
Batman,movie,"Action, Adventure",1989,tt0096895,7.5,419446,
Breathless,movie,"Crime, Drama",1960,tt0053472,7.7,91073,
"Batman Begins",movie,"Action, Crime, Drama",2005,tt0372784,8.2,1645496,
"The Silence of the Lambs",movie,"Crime, Drama, Horror",1991,tt0102926,8.6,1633866,
Fargo,movie,"Crime, Drama, Thriller",1996,tt0116282,8.1,755993,
Underworld,movie,"Action, Fantasy, Thriller",2003,tt0320691,7,293788,
"The Shawshank Redemption",movie,Drama,1994,tt0111161,9.3,3041709,
"Terminator 2: Judgment Day",movie,"Action, Adventure, Sci-Fi",1991,tt0103064,8.6,1231822,
Casablanca,movie,"Drama, Romance, War",1942,tt0034583,8.5,630852,
"Desert Hearts",movie,"Drama, Romance",1985,tt0089015,7.1,7878,
"Meet Joe Black",movie,"Drama, Fantasy, Romance",1998,tt0119643,7.2,282716,
"Ocean's Thirteen",movie,"Crime, Thriller",2007,tt0496806,6.9,377373,
"Rio Bravo",movie,Western,1959,tt0053221,8,70969,
"Rome, Open City",movie,"Drama, Thriller, War",1945,tt0038890,8,32069,
Catwoman,movie,"Action, Crime, Fantasy",2004,tt0327554,3.4,129132,
"Mystic River",movie,"Crime, Drama, Mystery",2003,tt0327056,7.9,503783,
"Snakes on a Plane",movie,"Action, Adventure, Crime",2006,tt0417148,5.5,147182,
"Jurassic Park",movie,"Action, Adventure, Sci-Fi",1993,tt0107290,8.2,1118682,
Magnolia,movie,Drama,1999,tt0175880,8,337844,
"Good Bye Lenin!",movie,"Comedy, Drama, Romance",2003,tt0301357,7.7,156402,
"Night on Earth",movie,"Comedy, Drama",1991,tt0102536,7.7,68733,
"Eyes Wide Shut",movie,"Drama, Mystery, Thriller",1999,tt0120663,7.5,399094,
"Seven Samurai",movie,"Action, Drama",1954,tt0047478,8.6,383702,
"People on Sunday",movie,"Comedy, Drama, Romance",1930,tt0020163,7.3,3732,
Alien,movie,"Horror, Sci-Fi",1979,tt0078748,8.5,1015265,
"The Devil Wears Prada",movie,"Comedy, Drama",2006,tt0458352,6.9,499110,
"Batman Returns",movie,"Action, Crime, Fantasy",1992,tt0103776,7.1,339857,
"A Nightmare on Elm Street",movie,Horror,1984,tt0087800,7.4,277591,
"Rain Man",movie,Drama,1988,tt0095953,8,565047,
"Inside Man",movie,"Crime, Drama, Mystery",2006,tt0454848,7.6,412649,
"La Strada",movie,Drama,1954,tt0047528,8,68292,
"The English Patient",movie,"Drama, Romance, War",1996,tt0116209,7.4,208654,
"Batman Forever",movie,"Action, Adventure",1995,tt0112462,5.4,275238,
